Action,Object Type,Object Name,Event Display Name,Object Description,Event Category,Tags,Event Activity,Event Hidden From Dropdowns,Event Hidden From Persona Results,Event Hidden From Pathfinder,Event Hidden From Timeline,Event Source,Property Type,Property Group Names,Event Property Name,Property Description,Property Value Type,Property Required,Property Visibility,Property Is Array,Enum Values,Property Regex,Const Value,String Property Value Min Length,String Property Value Max Length,Number Property Value Min,Number Property Value Max,Array Min Items,Array Max Items
,,,,,,,,,,,,,,Common-Properties,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,page_name,Property page_name (required),string,TRUE,,,,,,,,,,,
,,,,,,,,,,,,,,,form_id,Property form_id (required),string,TRUE,,,,,,,,,,,
,,,,,,,,,,,,,,,error_type,Property error_type (required),string,TRUE,,,,,,,,,,,
,Event,gallery_viewed,gallery_viewed,Visualização de galeria,GALLERY,,ACTIVE,,,,,web,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Common-Properties,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,page_name,Property page_name (required),string,TRUE,,,,,,,,,,,
,Event,gallery_album_clicked,gallery_album_clicked,Clique em álbum da galeria,GALLERY,,ACTIVE,,,,,web,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Common-Properties,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,page_name,Property page_name (required),string,TRUE,,,,,,,,,,,
,Event,external_link_clicked,external_link_clicked,Clique em link externo,EXTERNAL,,ACTIVE,,,,,web,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Common-Properties,,,,,,,,,,,,,,,
,Event,error_occurred,error_occurred,Erro na aplicação,ERRORS,,ACTIVE,,,,,web,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Common-Properties,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,error_type,Property error_type (required),string,TRUE,,,,,,,,,,,
